date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:44	8426/8426	---M--	200	added ('OK')	application/javascript	etag:%2220ea-57c36756717b4%22	https://misp.iiita.ac.in/js/wow.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/wow.min.js	(from https://misp.iiita.ac.in/)
22:25:45	36868/36868	---M--	200	added ('OK')	application/javascript	etag:%229004-57c36755550ec%22	https://misp.iiita.ac.in/js/bootstrap.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/bootstrap.min.js	(from https://misp.iiita.ac.in/)
22:25:46	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-57c3674e6f6ec%22	https://misp.iiita.ac.in/fonts/fontawesome-webfont.eot?v=4.5.0	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/fontawesome-webfont3295.eot	(from https://misp.iiita.ac.in/css/font-awesome.min.css)
22:25:48	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-57c3674e6f6ec%22	https://misp.iiita.ac.in/fonts/fontawesome-webfont.eot?	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/fontawesome-webfontd41d.eot	(from https://misp.iiita.ac.in/css/font-awesome.min.css)
22:25:48	66624/66624	---M--	200	added ('OK')	text/html	etag:%2210440-57c3674eca40c%22	https://misp.iiita.ac.in/fonts/fontawesome-webfont.woff2?v=4.5.0	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/fontawesome-webfont3295.html	(from https://misp.iiita.ac.in/css/font-awesome.min.css)
22:25:49	83588/83588	---M--	200	added ('OK')	application/font-woff	etag:%2214684-57c3674ea4e64%22	https://misp.iiita.ac.in/fonts/fontawesome-webfont.woff?v=4.5.0	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/fontawesome-webfont3295.woff	(from https://misp.iiita.ac.in/css/font-awesome.min.css)
22:25:51	142072/142072	---M--	200	added ('OK')	application/font-sfnt	etag:%2222af8-57c3674ea69bc%22	https://misp.iiita.ac.in/fonts/fontawesome-webfont.ttf?v=4.5.0	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/fontawesome-webfont3295.ttf	(from https://misp.iiita.ac.in/css/font-awesome.min.css)
22:25:53	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-57c3674ef95f4%22	https://misp.iiita.ac.in/fonts/glyphicons-halflings-regular.eot	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/glyphicons-halflings-regular.eot	(from https://misp.iiita.ac.in/css/bootstrap.min.css)
22:25:54	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-57c3674ef95f4%22	https://misp.iiita.ac.in/fonts/glyphicons-halflings-regular.eot?	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/glyphicons-halflings-regulard41d.eot	(from https://misp.iiita.ac.in/css/bootstrap.min.css)
22:25:55	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-57c3674f36e54%22	https://misp.iiita.ac.in/fonts/glyphicons-halflings-regular.woff2	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/glyphicons-halflings-regular.html	(from https://misp.iiita.ac.in/css/bootstrap.min.css)
